service_id,date,exception_type
0000011_TR7,20201028,1
0000010_TR7,20200410,1
0000010_TR7,20200501,1
0000010_TR7,20200508,1
0000010_TR7,20201028,1
0000001_TR10,20200413,1
0000001_TR10,20200706,1
0000001_TR10,20200928,1
0000011_TR8,20191226,1
0000011_TR8,20200410,1
0000011_TR8,20200413,1
0000011_TR8,20200501,1
0000011_TR8,20200508,1
0000011_TR8,20200706,1
0000011_TR8,20200928,1
0000011_TR9,20200301,2
0000011_TR9,20200307,2
0000011_TR9,20200308,2
0000011_TR9,20200314,2
0000011_TR9,20200315,2
0000011_TR9,20200321,2
0000011_TR9,20200322,2
0000011_TR9,20200328,2
0000011_TR9,20200329,2
0000011_TR9,20200404,2
0000011_TR9,20200405,2
0000011_TR9,20200411,2
0000011_TR9,20200412,2
0000011_TR9,20200418,2
0000011_TR9,20200419,2
0000011_TR9,20200425,2
0000011_TR9,20200426,2
0000011_TR9,20200501,1
0000000_TR4,20191215,1
0000000_TR4,20191224,1
0000000_TR4,20191226,1
0000000_TR4,20200301,1
0000000_TR4,20200307,1
0000000_TR4,20200308,1
0000000_TR4,20200314,1
0000000_TR4,20200315,1
0000000_TR4,20200321,1
0000000_TR4,20200322,1
0000000_TR4,20200328,1
0000000_TR4,20200329,1
0000000_TR4,20200404,1
0000000_TR4,20200405,1
0000000_TR4,20200410,1
0000000_TR4,20200411,1
0000000_TR4,20200412,1
0000000_TR4,20200413,1
0000000_TR4,20200418,1
0000000_TR4,20200419,1
0000000_TR4,20200425,1
0000000_TR4,20200426,1
0000000_TR4,20200508,1
0000000_TR4,20200706,1
0000000_TR4,20200928,1
0000000_TR4,20201028,1
0000000_TR4,20201117,1
0000111_TR2,20200229,2
0000111_TR2,20200301,2
0000111_TR2,20200306,2
0000111_TR2,20200307,2
0000111_TR2,20200308,2
0000111_TR2,20200313,2
0000111_TR2,20200314,2
0000111_TR2,20200315,2
0000111_TR2,20200320,2
0000111_TR2,20200321,2
0000111_TR2,20200322,2
0000111_TR2,20200327,2
0000111_TR2,20200328,2
0000111_TR2,20200329,2
0000111_TR2,20200403,2
0000111_TR2,20200404,2
0000111_TR2,20200405,2
0000111_TR2,20200410,2
0000111_TR2,20200411,2
0000111_TR2,20200412,2
0000111_TR2,20200417,2
0000111_TR2,20200418,2
0000111_TR2,20200419,2
0000111_TR2,20200424,2
0000111_TR2,20200425,2
0000111_TR2,20200426,2
0000111_TR2,20200430,1
1111000_TR5,20191215,1
1111000_TR5,20191224,2
1111000_TR5,20191231,2
1111000_TR5,20200229,1
1111000_TR5,20200301,1
1111000_TR5,20200306,1
1111000_TR5,20200307,1
1111000_TR5,20200308,1
1111000_TR5,20200313,1
1111000_TR5,20200314,1
1111000_TR5,20200315,1
1111000_TR5,20200320,1
1111000_TR5,20200321,1
1111000_TR5,20200322,1
1111000_TR5,20200327,1
1111000_TR5,20200328,1
1111000_TR5,20200329,1
1111000_TR5,20200403,1
1111000_TR5,20200404,1
1111000_TR5,20200405,1
1111000_TR5,20200410,1
1111000_TR5,20200411,1
1111000_TR5,20200412,1
1111000_TR5,20200417,1
1111000_TR5,20200418,1
1111000_TR5,20200419,1
1111000_TR5,20200424,1
1111000_TR5,20200425,1
1111000_TR5,20200426,1
1111000_TR5,20200430,2
0000111_TR3,20191225,1
0000111_TR3,20191226,1
0000111_TR3,20200101,1
0000111_TR3,20200409,1
0000111_TR3,20200413,1
0000111_TR3,20200430,1
0000111_TR3,20200507,1
0000111_TR3,20200706,1
0000111_TR3,20200928,1
0000001_TR11,20191226,1
0000001_TR11,20200101,1
0000001_TR11,20200412,2
0000001_TR11,20200413,1
